image,psnr,ssim,lpips
Component_137/Component_137_with_bg_3.png,71.4407,0.9999,0.0002
Component_137/Component_137_with_bg_5.png,16.8919,0.8175,0.1599
Component_138/Component_138_with_bg_0.png,74.8553,1.0000,0.0000
Component_138/Component_138_with_bg_3.png,76.0066,1.0000,0.0000
Component_138/Component_138_with_bg_5.png,16.9613,0.8169,0.1568
Component_139/Component_139_with_bg_0.png,61.7507,0.9998,0.0095
Component_139/Component_139_with_bg_3.png,74.7090,1.0000,0.0001
Component_139/Component_139_with_bg_5.png,18.9389,0.8280,0.1755
Component_14/Component_14_with_bg_0.png,11.2220,0.6099,0.3138
Component_14/Component_14_with_bg_3.png,47.7772,0.8872,0.0005
Component_14/Component_14_with_bg_4.png,49.4142,0.9008,0.0007
Component_14/Component_14_with_bg_5.png,46.6673,0.8729,0.0055
Component_140/Component_140_with_bg_0.png,83.7326,1.0000,0.0000
Component_140/Component_140_with_bg_3.png,71.9548,0.9999,0.0003
Component_140/Component_140_with_bg_5.png,16.8977,0.8161,0.1570
Component_141/Component_141_with_bg_0.png,79.5219,1.0000,0.0000
Component_141/Component_141_with_bg_3.png,74.6437,1.0000,0.0001
Component_142/Component_142_with_bg_0.png,84.0770,1.0000,0.0000
Component_142/Component_142_with_bg_3.png,74.1151,1.0000,0.0002
Component_143/Component_143_with_bg_0.png,83.4499,1.0000,0.0000
Component_143/Component_143_with_bg_3.png,78.0406,1.0000,0.0000
Component_144/Component_144_with_bg_0.png,58.6926,0.9998,0.0117
Component_144/Component_144_with_bg_3.png,76.9708,1.0000,0.0000
Component_145/Component_145_with_bg_0.png,67.1424,0.9999,0.0001
Component_145/Component_145_with_bg_3.png,76.5449,1.0000,0.0000
Component_146/Component_146_with_bg_0.png,58.1761,0.9877,0.0001
Component_146/Component_146_with_bg_3.png,60.7115,0.9936,0.0001
Component_147/Component_147_with_bg_0.png,62.9850,0.9960,0.0001
Component_147/Component_147_with_bg_3.png,62.3220,0.9953,0.0001
Component_148/Component_148_with_bg_0.png,60.6380,0.9928,0.0001
Component_148/Component_148_with_bg_3.png,60.5423,0.9927,0.0001
Component_149/Component_149_with_bg_0.png,57.8285,0.9861,0.0002
Component_149/Component_149_with_bg_3.png,57.7772,0.9862,0.0002
Component_15/Component_15_with_bg_0.png,10.4477,0.5772,0.3143
Component_15/Component_15_with_bg_3.png,48.8138,0.8855,0.0003
Component_15/Component_15_with_bg_4.png,47.4836,0.8838,0.0018
Component_15/Component_15_with_bg_5.png,45.6519,0.8675,0.0091
Component_150/Component_150_with_bg_0.png,56.8570,0.9826,0.0003
Component_150/Component_150_with_bg_3.png,57.0494,0.9832,0.0003
Component_151/Component_151_with_bg_0.png,55.3216,0.9756,0.0003
Component_151/Component_151_with_bg_3.png,55.9276,0.9785,0.0003
Component_152/Component_152_with_bg_0.png,54.4589,0.9695,0.0004
Component_152/Component_152_with_bg_3.png,55.0462,0.9736,0.0003
Component_153/Component_153_with_bg_0.png,51.6376,0.9426,0.0005
Component_153/Component_153_with_bg_3.png,51.9427,0.9469,0.0005
Component_154/Component_154_with_bg_0.png,47.9577,0.8777,0.0006
Component_154/Component_154_with_bg_3.png,47.2987,0.8596,0.0006
Component_155/Component_155_with_bg_0.png,57.9309,0.9877,0.0004
Component_155/Component_155_with_bg_3.png,59.1690,0.9905,0.0003
Component_156/Component_156_with_bg_0.png,75.3123,1.0000,0.0000
Component_156/Component_156_with_bg_3.png,73.6249,0.9999,0.0001
Component_156/Component_156_with_bg_5.png,16.7420,0.8279,0.1297
Component_157/Component_157_with_bg_0.png,82.7752,1.0000,0.0000
Component_157/Component_157_with_bg_3.png,76.2779,1.0000,0.0001
Component_157/Component_157_with_bg_5.png,16.8021,0.8260,0.1290
Component_158/Component_158_with_bg_0.png,74.6221,1.0000,0.0000
Component_158/Component_158_with_bg_3.png,73.2051,0.9999,0.0003
Component_159/Component_159_with_bg_0.png,82.6520,1.0000,0.0000
Component_159/Component_159_with_bg_3.png,72.9375,0.9999,0.0001
Component_159/Component_159_with_bg_4.png,19.0392,0.8366,0.1130
Component_159/Component_159_with_bg_5.png,16.7345,0.8268,0.1268
Component_16/Component_16_with_bg_0.png,9.6924,0.5322,0.3376
Component_16/Component_16_with_bg_3.png,47.4693,0.8830,0.0040
Component_16/Component_16_with_bg_4.png,48.6327,0.8807,0.0003
Component_16/Component_16_with_bg_5.png,48.1414,0.8704,0.0006
Component_160/Component_160_with_bg_0.png,76.7003,1.0000,0.0000
Component_160/Component_160_with_bg_3.png,73.7074,0.9999,0.0002
Component_161/Component_161_with_bg_0.png,75.8137,1.0000,0.0000
Component_161/Component_161_with_bg_3.png,76.4094,1.0000,0.0000
Component_162/Component_162_with_bg_0.png,70.9216,0.9999,0.0002
Component_162/Component_162_with_bg_3.png,77.2990,1.0000,0.0000
Component_163/Component_163_with_bg_0.png,73.6363,1.0000,0.0000
Component_163/Component_163_with_bg_3.png,70.9584,0.9999,0.0004
Component_164/Component_164_with_bg_0.png,75.5602,1.0000,0.0001
Component_164/Component_164_with_bg_3.png,70.5058,0.9999,0.0000
Component_165/Component_165_with_bg_0.png,76.9585,1.0000,0.0000
Component_165/Component_165_with_bg_3.png,75.4605,1.0000,0.0000
Component_166/Component_166_with_bg_0.png,9.2471,0.0882,0.5364
Component_166/Component_166_with_bg_3.png,9.3114,0.1228,0.5332
Component_166/Component_166_with_bg_4.png,12.0505,0.6497,0.2848
Component_167/Component_167_with_bg_1.png,16.1727,0.6670,0.3420
Component_167/Component_167_with_bg_4.png,17.7931,0.6957,0.2849
Component_168/Component_168_with_bg_2.png,9.0777,0.0445,0.5461
Component_168/Component_168_with_bg_3.png,11.8485,0.6358,0.4402
Component_168/Component_168_with_bg_5.png,9.4025,0.0773,0.5509
Component_169/Component_169_with_bg_0.png,8.2199,0.0108,0.6642
Component_169/Component_169_with_bg_2.png,8.7486,0.0056,0.4999
Component_169/Component_169_with_bg_3.png,8.9810,0.0110,0.5926
Component_169/Component_169_with_bg_4.png,9.1176,0.0146,0.5614
Component_169/Component_169_with_bg_5.png,12.3368,0.6620,0.4177
Component_17/Component_17_with_bg_0.png,10.2770,0.5460,0.3324
Component_17/Component_17_with_bg_3.png,48.6373,0.8808,0.0002
Component_17/Component_17_with_bg_4.png,47.6368,0.8773,0.0023
Component_17/Component_17_with_bg_5.png,48.0464,0.8686,0.0008
Component_170/Component_170_with_bg_0.png,8.3431,0.0104,0.6482
Component_170/Component_170_with_bg_1.png,8.7965,0.0224,0.5784
Component_170/Component_170_with_bg_2.png,8.9384,0.0095,0.4980
Component_170/Component_170_with_bg_3.png,8.7365,0.0100,0.5875
Component_170/Component_170_with_bg_4.png,8.9706,0.0155,0.5689
Component_170/Component_170_with_bg_5.png,10.9070,0.5042,0.4878
Component_171/Component_171_with_bg_2.png,9.4724,0.0668,0.5755
Component_171/Component_171_with_bg_3.png,12.2655,0.5771,0.4920
Component_171/Component_171_with_bg_5.png,9.1031,0.0578,0.5403
Component_172/Component_172_with_bg_3.png,23.2925,0.5125,0.4448
Component_18/Component_18_with_bg_0.png,10.3662,0.4888,0.3366
Component_18/Component_18_with_bg_3.png,45.1169,0.8694,0.0041
Component_18/Component_18_with_bg_4.png,46.4785,0.8710,0.0027
Component_18/Component_18_with_bg_5.png,47.9528,0.8685,0.0012
Component_19/Component_19_with_bg_0.png,13.0080,0.5532,0.3916
Component_19/Component_19_with_bg_1.png,12.5159,0.6710,0.3153
Component_19/Component_19_with_bg_2.png,12.4513,0.5503,0.3330
Component_19/Component_19_with_bg_3.png,9.3108,0.4926,0.5560
Component_19/Component_19_with_bg_4.png,14.0112,0.6992,0.3602
Component_19/Component_19_with_bg_5.png,9.7525,0.2059,0.3920
Component_2/Component_2_with_bg_0.png,27.3483,0.9635,0.1301
Component_2/Component_2_with_bg_1.png,26.2615,0.9325,0.0881
Component_2/Component_2_with_bg_2.png,23.1455,0.9088,0.1904
Component_2/Component_2_with_bg_3.png,21.9249,0.9017,0.3828
Component_2/Component_2_with_bg_4.png,26.8442,0.9769,0.0755
Component_2/Component_2_with_bg_5.png,31.9170,0.9850,0.0997
Component_20/Component_20_with_bg_0.png,10.5937,0.5370,0.3278
Component_20/Component_20_with_bg_3.png,12.6669,0.6474,0.2924
Component_20/Component_20_with_bg_4.png,15.1108,0.7420,0.3880
Component_20/Component_20_with_bg_5.png,11.4741,0.6287,0.2899
Component_21/Component_21_with_bg_0.png,10.4340,0.5362,0.3270
Component_21/Component_21_with_bg_3.png,14.2688,0.7334,0.2698
Component_21/Component_21_with_bg_4.png,11.5401,0.6709,0.4657
Component_21/Component_21_with_bg_5.png,12.0925,0.7050,0.2792
Component_22/Component_22_with_bg_0.png,10.2840,0.5838,0.3440
Component_22/Component_22_with_bg_3.png,13.5948,0.8808,0.1671
Component_22/Component_22_with_bg_4.png,15.2884,0.8841,0.1383
Component_22/Component_22_with_bg_5.png,16.5595,0.8979,0.1355
Component_23/Component_23_with_bg_0.png,16.8062,0.6986,0.2108
Component_23/Component_23_with_bg_4.png,20.8954,0.8753,0.0475
Component_23/Component_23_with_bg_5.png,18.5301,0.4835,0.0512
Component_24/Component_24_with_bg_0.png,8.9842,0.1585,0.4823
Component_24/Component_24_with_bg_2.png,15.4461,0.7594,0.3287
Component_24/Component_24_with_bg_3.png,13.4453,0.6820,0.2629
Component_24/Component_24_with_bg_4.png,14.3009,0.7209,0.3197
Component_24/Component_24_with_bg_5.png,12.5085,0.6226,0.3740
Component_25/Component_25_with_bg_0.png,20.4828,0.9259,0.1455
Component_25/Component_25_with_bg_1.png,17.5927,0.8794,0.1974
Component_25/Component_25_with_bg_2.png,22.1052,0.9340,0.1308
Component_25/Component_25_with_bg_3.png,48.8785,0.8872,0.0004
Component_25/Component_25_with_bg_4.png,48.7266,0.8834,0.0004
Component_25/Component_25_with_bg_5.png,47.1163,0.8695,0.0051
Component_26/Component_26_with_bg_0.png,25.0362,0.9702,0.0875
Component_26/Component_26_with_bg_1.png,17.4601,0.8782,0.1573
Component_26/Component_26_with_bg_2.png,19.9022,0.9220,0.1088
Component_26/Component_26_with_bg_3.png,48.5389,0.8782,0.0002
Component_26/Component_26_with_bg_4.png,48.5167,0.8773,0.0002
Component_26/Component_26_with_bg_5.png,46.7343,0.8675,0.0044
Component_27/Component_27_with_bg_0.png,19.5904,0.9081,0.1276
Component_27/Component_27_with_bg_1.png,18.4672,0.8954,0.1793
Component_27/Component_27_with_bg_2.png,23.3898,0.9511,0.1144
Component_27/Component_27_with_bg_3.png,47.7154,0.8792,0.0043
Component_27/Component_27_with_bg_4.png,48.4535,0.8756,0.0002
Component_27/Component_27_with_bg_5.png,48.2133,0.8683,0.0001
Component_28/Component_28_with_bg_0.png,19.7368,0.9351,0.1050
Component_28/Component_28_with_bg_1.png,38.9174,0.9061,0.0674
Component_28/Component_28_with_bg_2.png,19.7142,0.9308,0.1370
Component_28/Component_28_with_bg_3.png,48.4390,0.8754,0.0002
Component_28/Component_28_with_bg_4.png,47.2664,0.8727,0.0038
Component_28/Component_28_with_bg_5.png,48.1233,0.8667,0.0001
Component_29/Component_29_with_bg_0.png,25.8588,0.9609,0.1488
Component_29/Component_29_with_bg_1.png,21.8096,0.9289,0.1657
Component_29/Component_29_with_bg_2.png,20.4109,0.9387,0.1107
Component_29/Component_29_with_bg_3.png,44.1164,0.8649,0.0119
Component_29/Component_29_with_bg_4.png,44.1867,0.8645,0.0121
Component_29/Component_29_with_bg_5.png,48.0747,0.8659,0.0001
Component_3/Component_3_with_bg_0.png,27.8925,0.9633,0.1237
Component_3/Component_3_with_bg_1.png,24.6481,0.9320,0.0865
Component_3/Component_3_with_bg_2.png,22.1951,0.8868,0.2091
Component_3/Component_3_with_bg_3.png,22.5315,0.9342,0.3388
Component_3/Component_3_with_bg_4.png,29.2567,0.9844,0.0894
Component_30/Component_30_with_bg_1.png,12.6587,0.6933,0.3239
Component_30/Component_30_with_bg_3.png,14.4692,0.7260,0.3085
Component_30/Component_30_with_bg_4.png,15.9714,0.7799,0.3193
Component_30/Component_30_with_bg_5.png,13.9452,0.7074,0.3408
Component_31/Component_31_with_bg_0.png,22.5743,0.9479,0.1722
Component_31/Component_31_with_bg_1.png,20.1878,0.9087,0.2474
