image,count_a,count_b,matched,coverage,mean_iou,count_delta
Component_116/Component_116_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_116/Component_116_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_116/Component_116_with_bg_5.png,2.0000,1.0000,1.0000,0.5000,0.9726,1.0000
Component_117/Component_117_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_117/Component_117_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_117/Component_117_with_bg_2.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_117/Component_117_with_bg_3.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_117/Component_117_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_117/Component_117_with_bg_5.png,1.0000,2.0000,1.0000,0.5000,0.9860,1.0000
Component_118/Component_118_with_bg_0.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_118/Component_118_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_118/Component_118_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_118/Component_118_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_118/Component_118_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_119/Component_119_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_119/Component_119_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_119/Component_119_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_12/Component_12_with_bg_0.png,2.0000,2.0000,2.0000,1.0000,0.9781,0.0000
Component_12/Component_12_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_12/Component_12_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_120/Component_120_with_bg_2.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_120/Component_120_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_120/Component_120_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_120/Component_120_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
