image,pixel_agreement,miou_proxy
Component_131/Component_131_with_bg_3.png,0.9999,0.9627
Component_132/Component_132_with_bg_0.png,0.9999,0.9265
Component_132/Component_132_with_bg_3.png,0.9999,0.9453
Component_132/Component_132_with_bg_4.png,1.0000,1.0000
Component_132/Component_132_with_bg_5.png,0.9926,0.3309
Component_133/Component_133_with_bg_0.png,1.0000,0.9825
Component_133/Component_133_with_bg_3.png,0.9999,0.9469
Component_133/Component_133_with_bg_4.png,1.0000,1.0000
Component_133/Component_133_with_bg_5.png,0.9826,0.3275
Component_134/Component_134_with_bg_0.png,1.0000,0.9744
Component_134/Component_134_with_bg_3.png,1.0000,0.9776
Component_134/Component_134_with_bg_4.png,1.0000,1.0000
Component_134/Component_134_with_bg_5.png,0.9725,0.3242
Component_135/Component_135_with_bg_0.png,1.0000,0.9808
Component_135/Component_135_with_bg_3.png,1.0000,0.9752
Component_135/Component_135_with_bg_4.png,1.0000,1.0000
Component_135/Component_135_with_bg_5.png,0.9528,0.4007
Component_136/Component_136_with_bg_0.png,0.9999,0.9440
Component_136/Component_136_with_bg_3.png,1.0000,0.9785
Component_136/Component_136_with_bg_4.png,0.9889,0.4944
Component_136/Component_136_with_bg_5.png,0.9753,0.4876
Component_137/Component_137_with_bg_0.png,0.9999,0.9258
Component_137/Component_137_with_bg_3.png,0.9999,0.9271
Component_137/Component_137_with_bg_5.png,0.9972,0.3324
Component_138/Component_138_with_bg_0.png,1.0000,0.9964
Component_138/Component_138_with_bg_3.png,0.9999,0.9464
Component_138/Component_138_with_bg_5.png,0.9911,0.3304
Component_139/Component_139_with_bg_0.png,0.9998,0.8560
Component_139/Component_139_with_bg_3.png,0.9999,0.9650
Component_139/Component_139_with_bg_5.png,0.9887,0.3296
Component_14/Component_14_with_bg_0.png,0.9999,0.5000
Component_14/Component_14_with_bg_3.png,0.9992,0.6404
Component_14/Component_14_with_bg_4.png,0.9995,0.6670
Component_14/Component_14_with_bg_5.png,0.9996,0.6621
Component_140/Component_140_with_bg_0.png,1.0000,0.9929
Component_140/Component_140_with_bg_3.png,0.9999,0.9646
Component_140/Component_140_with_bg_5.png,0.9986,0.5973
Component_141/Component_141_with_bg_0.png,0.9999,0.9401
Component_141/Component_141_with_bg_3.png,1.0000,0.9753
Component_142/Component_142_with_bg_0.png,1.0000,0.9692
Component_142/Component_142_with_bg_3.png,1.0000,0.9758
Component_143/Component_143_with_bg_0.png,1.0000,0.9689
Component_143/Component_143_with_bg_3.png,1.0000,0.9752
Component_144/Component_144_with_bg_0.png,0.9996,0.7827
Component_144/Component_144_with_bg_3.png,0.9999,0.9463
Component_145/Component_145_with_bg_0.png,0.9999,0.9626
Component_145/Component_145_with_bg_3.png,1.0000,0.9719
Component_146/Component_146_with_bg_0.png,0.9991,0.7157
Component_146/Component_146_with_bg_3.png,0.9983,0.7241
Component_147/Component_147_with_bg_0.png,0.9983,0.6499
Component_147/Component_147_with_bg_3.png,0.9950,0.5739
Component_148/Component_148_with_bg_0.png,0.9968,0.5773
Component_148/Component_148_with_bg_3.png,0.9917,0.5370
Component_149/Component_149_with_bg_0.png,0.9856,0.5048
Component_149/Component_149_with_bg_3.png,0.9912,0.5209
Component_15/Component_15_with_bg_0.png,0.9929,0.3310
Component_15/Component_15_with_bg_3.png,0.9995,0.6746
Component_15/Component_15_with_bg_4.png,0.9994,0.6739
Component_15/Component_15_with_bg_5.png,0.9998,0.7024
Component_150/Component_150_with_bg_0.png,0.9674,0.4883
Component_150/Component_150_with_bg_3.png,0.9997,0.6118
Component_151/Component_151_with_bg_0.png,0.9722,0.4940
Component_151/Component_151_with_bg_3.png,0.9976,0.5958
Component_152/Component_152_with_bg_0.png,0.9867,0.5100
Component_152/Component_152_with_bg_3.png,0.9928,0.5075
Component_153/Component_153_with_bg_0.png,0.9983,0.5843
Component_153/Component_153_with_bg_3.png,0.9956,0.5065
Component_154/Component_154_with_bg_0.png,0.9515,0.4791
Component_154/Component_154_with_bg_3.png,0.9179,0.4590
Component_155/Component_155_with_bg_0.png,0.9717,0.5554
Component_155/Component_155_with_bg_3.png,0.9941,0.5416
Component_156/Component_156_with_bg_0.png,1.0000,0.9928
Component_156/Component_156_with_bg_3.png,1.0000,0.9800
Component_156/Component_156_with_bg_5.png,0.9979,0.3326
Component_157/Component_157_with_bg_0.png,1.0000,0.9964
Component_157/Component_157_with_bg_3.png,0.9999,0.9654
Component_157/Component_157_with_bg_5.png,0.9921,0.3307
Component_158/Component_158_with_bg_0.png,1.0000,0.9784
Component_158/Component_158_with_bg_3.png,0.9999,0.9657
Component_159/Component_159_with_bg_0.png,1.0000,0.9739
Component_159/Component_159_with_bg_3.png,0.9999,0.9593
Component_159/Component_159_with_bg_4.png,1.0000,1.0000
Component_159/Component_159_with_bg_5.png,0.9970,0.3323
Component_16/Component_16_with_bg_0.png,0.2696,0.1510
Component_16/Component_16_with_bg_3.png,0.9993,0.5533
Component_16/Component_16_with_bg_4.png,0.9995,0.6573
Component_16/Component_16_with_bg_5.png,0.9998,0.7928
Component_160/Component_160_with_bg_0.png,1.0000,0.9808
Component_160/Component_160_with_bg_3.png,0.9998,0.9027
Component_161/Component_161_with_bg_0.png,1.0000,0.9776
Component_161/Component_161_with_bg_3.png,0.9999,0.9591
Component_162/Component_162_with_bg_0.png,0.9999,0.9667
Component_162/Component_162_with_bg_3.png,1.0000,0.9689
Component_163/Component_163_with_bg_0.png,0.9999,0.9331
Component_163/Component_163_with_bg_3.png,1.0000,0.9687
Component_164/Component_164_with_bg_0.png,0.9999,0.9483
Component_164/Component_164_with_bg_3.png,0.9999,0.9444
Component_165/Component_165_with_bg_0.png,0.9999,0.9607
Component_165/Component_165_with_bg_3.png,1.0000,0.9798
Component_166/Component_166_with_bg_0.png,1.0000,1.0000
Component_166/Component_166_with_bg_3.png,1.0000,1.0000
Component_166/Component_166_with_bg_4.png,0.6403,0.3202
Component_167/Component_167_with_bg_1.png,1.0000,1.0000
Component_167/Component_167_with_bg_4.png,0.9765,0.4883
Component_168/Component_168_with_bg_2.png,0.9675,0.3225
Component_168/Component_168_with_bg_3.png,1.0000,1.0000
Component_168/Component_168_with_bg_5.png,0.9947,0.4974
Component_169/Component_169_with_bg_0.png,1.0000,1.0000
Component_169/Component_169_with_bg_2.png,0.9968,0.4984
Component_169/Component_169_with_bg_3.png,0.9991,0.4996
Component_169/Component_169_with_bg_4.png,0.9909,0.4955
Component_169/Component_169_with_bg_5.png,0.9960,0.4980
Component_17/Component_17_with_bg_0.png,0.9834,0.3278
Component_17/Component_17_with_bg_3.png,0.9995,0.6617
Component_17/Component_17_with_bg_4.png,0.9999,0.6597
Component_17/Component_17_with_bg_5.png,0.9997,0.6988
Component_170/Component_170_with_bg_0.png,1.0000,1.0000
Component_170/Component_170_with_bg_1.png,0.9925,0.4962
Component_170/Component_170_with_bg_2.png,0.9980,0.4990
Component_170/Component_170_with_bg_3.png,0.9990,0.4995
Component_170/Component_170_with_bg_4.png,0.9636,0.3212
Component_170/Component_170_with_bg_5.png,0.9957,0.4979
Component_171/Component_171_with_bg_2.png,0.9991,0.4996
Component_171/Component_171_with_bg_3.png,0.9927,0.4964
Component_171/Component_171_with_bg_5.png,0.9753,0.3251
Component_172/Component_172_with_bg_3.png,1.0000,1.0000
Component_18/Component_18_with_bg_0.png,0.4596,0.2815
Component_18/Component_18_with_bg_3.png,0.9993,0.6832
Component_18/Component_18_with_bg_4.png,0.9996,0.7407
Component_18/Component_18_with_bg_5.png,1.0000,0.9643
Component_19/Component_19_with_bg_0.png,1.0000,0.5000
Component_19/Component_19_with_bg_1.png,0.9477,0.2369
Component_19/Component_19_with_bg_2.png,0.9937,0.4968
Component_19/Component_19_with_bg_3.png,0.9410,0.4705
Component_19/Component_19_with_bg_4.png,0.7944,0.3972
Component_19/Component_19_with_bg_5.png,1.0000,1.0000
Component_2/Component_2_with_bg_0.png,0.9865,0.4933
Component_2/Component_2_with_bg_1.png,1.0000,1.0000
Component_2/Component_2_with_bg_2.png,0.7102,0.3289
Component_2/Component_2_with_bg_3.png,1.0000,1.0000
Component_2/Component_2_with_bg_4.png,1.0000,1.0000
Component_2/Component_2_with_bg_5.png,1.0000,1.0000
Component_20/Component_20_with_bg_0.png,0.5623,0.3268
Component_20/Component_20_with_bg_3.png,0.8944,0.4472
Component_20/Component_20_with_bg_4.png,0.7867,0.3933
Component_20/Component_20_with_bg_5.png,0.9064,0.3021
Component_21/Component_21_with_bg_0.png,0.5357,0.3082
Component_21/Component_21_with_bg_3.png,0.9187,0.4594
Component_21/Component_21_with_bg_4.png,0.6221,0.3110
Component_21/Component_21_with_bg_5.png,0.9443,0.3148
Component_22/Component_22_with_bg_0.png,0.8099,0.4656
Component_22/Component_22_with_bg_3.png,1.0000,1.0000
Component_22/Component_22_with_bg_4.png,1.0000,1.0000
Component_22/Component_22_with_bg_5.png,1.0000,1.0000
Component_23/Component_23_with_bg_0.png,0.9566,0.3231
Component_23/Component_23_with_bg_4.png,0.9277,0.2319
Component_23/Component_23_with_bg_5.png,0.9987,0.4993
Component_24/Component_24_with_bg_0.png,1.0000,1.0000
Component_24/Component_24_with_bg_2.png,0.9518,0.2380
Component_24/Component_24_with_bg_3.png,1.0000,1.0000
Component_24/Component_24_with_bg_4.png,0.9664,0.3221
Component_24/Component_24_with_bg_5.png,1.0000,1.0000
Component_25/Component_25_with_bg_0.png,1.0000,1.0000
Component_25/Component_25_with_bg_1.png,1.0000,1.0000
Component_25/Component_25_with_bg_2.png,1.0000,1.0000
Component_25/Component_25_with_bg_3.png,0.9996,0.7012
Component_25/Component_25_with_bg_4.png,0.9995,0.6877
Component_25/Component_25_with_bg_5.png,0.9996,0.6742
Component_26/Component_26_with_bg_0.png,1.0000,1.0000
Component_26/Component_26_with_bg_1.png,1.0000,1.0000
Component_26/Component_26_with_bg_2.png,1.0000,1.0000
Component_26/Component_26_with_bg_3.png,0.9996,0.7005
Component_26/Component_26_with_bg_4.png,0.9995,0.6707
Component_26/Component_26_with_bg_5.png,0.9997,0.7254
Component_27/Component_27_with_bg_0.png,1.0000,1.0000
